"confl","SELS_mx","nrSELS","pavedkm","unpavedkm","PA_dist","vieh_sum","cattle_sum","pop_sum","set_num","set_area","MB_woody","MB_nat","MB_agri","livestock"
2,"A3",1,0,182.06,126.21,43292.1928710938,1035.59606170654,57.0084904553369,0,0.01,0.03,1386.52,19.27,44327.7889328003
2,"A3",1,58.19,183.05,85.22,42184.2336425781,1896.10890960693,3049.31792713236,2,2.38,0.76,1349.02,53.01,44080.342552185
2,"A3",1,0,102.46,45.48,11944.9156494141,86.7399139404297,26.1750622279942,0,0.06,131.53,1257.85,9.34,12031.6555633545
2,"A3",3,0,211.84,14.66,22658.5769042969,2728.62251281738,158.725432236679,1,0.1,8.48,1061.33,83.72,25387.1994171143
1,"A4",2,40.38,165.21,0,544.632727622986,9481.74627685547,41.2579040993005,0,0.7,1358.41,14.01,3.78,10026.3790044785
1,"C1",2,55.9,315.61,2.14,1660.79850006104,21522.439453125,21189.587596993,5,8.13,405.07,55.84,903.84,23183.237953186
1,"C1",1,75.74,337.51,0,9771.65158081055,61534.7509765625,2785.21458190261,2,1.94,609.79,790.96,10.45,71306.402557373
1,"C1",2,40.26,157.13,15.82,25022.7662353516,26911.1225585938,1413.56523524411,0,1.88,184.74,181.63,1043.38,51933.8887939454
1,"A3",2,41.23,255.33,0.03,22867.7399902344,1871.35069274902,1657.67285376787,1,0.86,71.47,1182.58,95.79,24739.0906829834
1,"A4",2,0,137.07,50.88,11934.8301391602,86.6666769981384,17.1792628364637,0,0.04,6.06,1389.71,6.35,12021.4968161583
1,"A3",1,0,62.97,87.34,21198.3720703125,187.075134277344,103.433856397867,2,0.06,5.05,1010.57,71.47,21385.4472045898
1,"A1",2,0,38.45,0,1157.46820831299,223.606579780579,73.4989519231021,0,0.07,447.26,266.74,76.57,1381.07478809357
0,"C1",1,32.83,510.87,43.14,2741.69212341309,25231.7072753906,37572.4064952524,7,21.89,22.46,66.14,1301.53,27973.3993988037
0,"A3",3,63.98,549.66,22.76,1329.08777236938,17045.1569824219,241.625835976098,0,1.06,258.38,998.87,152.36,18374.2447547913
0,"C1",1,154.36,433.62,5.95,22396.6100463867,17297.9318771362,4871519.5339559,1,720.21,68.01,431.9,380.45,39694.5419235229
0,"A4",1,30.59,122.72,0,635.138973236084,6045.78485107422,98.6984747778624,1,0.13,1368.97,30.82,3.32,6680.9238243103
0,"C1",1,0,6.44,27.03,3132.20983886719,38706.7564697266,14927.1249296751,4,6.89,0.53,184.99,1200.95,41838.9663085938
0,"A4",3,0,43.25,18.02,5321.04867553711,15504.0815429688,1164.69210430887,1,0.61,220.81,47.86,1121.47,20825.1302185059
0,"A4",2,0,362.16,15.88,5456.23782348633,6565.49700927734,94.2594574049581,0,0.41,1403.98,3.05,2.96,12021.7348327637
0,"C1",1,0,0,23.27,3397.77363586426,41909.8427734375,36992.1387766479,1,9.09,102.86,747.84,513.87,45307.6164093018
0,"C1",1,0,74.64,62.17,2422.79063415527,44744.9584960938,2262.01663328405,1,1.03,0.31,456.05,925.44,47167.7491302491
0,"B",3,40.46,525.83,11.38,53.173229932785,159.851316452026,7422.61417366192,1,1.98,1304.37,75.96,33.71,213.024546384811
0,"A3",1,70.14,329.85,16.34,4667.02194213867,5631.14520263672,60.7634877599776,0,0.7,1392.69,9.08,7.55,10298.1671447754
0,"A3",2,0,269.83,0,11892.6740722656,3164.28479003906,830.817270679865,0,0.45,133.58,948,90.38,15056.9588623047
0,"A3",1,0,146.44,30.43,9083.15408325195,1600.91110992432,559.112933737691,1,0.46,15.83,1123.45,68.55,10684.0651931763
0,"B",1,0,220.65,0,31.0894273519516,63.4604420661926,39.3811387987807,0,0.14,1112.06,290,10.36,94.5498694181442
0,"C1",1,48.61,0,48.2,1431.40986633301,85707.9975585938,9831.30519960402,8,5.93,13.09,29.29,1366.84,87139.4074249268
0,"C2",2,0,0,19.63,1534.48628997803,3596.26219177246,319.840785437264,0,0.37,1337.94,13.88,38.68,5130.74848175049
0,"A3",1,36.92,107.71,0,10373.3082885742,719.752239227295,77.4971516113728,0,0.7,93.12,1032.93,52.75,11093.0605278015
0,"A1",3,0,345.78,0,2204.41016387939,3668.93885803223,891.300183873623,0,0.19,805.2,590.02,9.65,5873.34902191162
